island,bill_length_mm,flipper_length_mm,sex
Torgersen,39.1,181,MALE
Torgersen,39.5,186,FEMALE
Torgersen,40.3,195,FEMALE
Torgersen,,,
Torgersen,36.7,193,FEMALE
Torgersen,39.3,190,MALE
Torgersen,38.9,181,FEMALE
Torgersen,39.2,195,MALE
Torgersen,34.1,193,
Torgersen,42,190,
Torgersen,37.8,186,
Torgersen,37.8,180,
Torgersen,41.1,182,FEMALE
Torgersen,38.6,191,MALE
Torgersen,34.6,198,MALE
Torgersen,36.6,185,FEMALE
Torgersen,38.7,195,FEMALE
Torgersen,42.5,197,MALE
Torgersen,34.4,184,FEMALE
Torgersen,46,194,MALE
Biscoe,37.8,174,FEMALE
Biscoe,37.7,180,MALE
Biscoe,35.9,189,FEMALE
Biscoe,38.2,185,MALE
Biscoe,38.8,180,MALE
Biscoe,35.3,187,FEMALE
Biscoe,40.6,183,MALE
Biscoe,40.5,187,FEMALE
Biscoe,37.9,172,FEMALE
Biscoe,40.5,180,MALE
Dream,39.5,178,FEMALE
Dream,37.2,178,MALE
Dream,39.5,188,FEMALE
Dream,40.9,184,MALE
Dream,36.4,195,FEMALE
Dream,39.2,196,MALE
Dream,38.8,190,MALE
Dream,42.2,180,FEMALE
Dream,37.6,181,FEMALE
Dream,39.8,184,MALE
Dream,36.5,182,FEMALE
Dream,40.8,195,MALE
Dream,36,186,FEMALE
Dream,44.1,196,MALE
Dream,37,185,FEMALE
Dream,39.6,190,MALE
Dream,41.1,182,MALE
Dream,37.5,179,
Dream,36,190,FEMALE
Dream,42.3,191,MALE
Biscoe,39.6,186,FEMALE
Biscoe,40.1,188,MALE
Biscoe,35,190,FEMALE
Biscoe,42,200,MALE
Biscoe,34.5,187,FEMALE
Biscoe,41.4,191,MALE
Biscoe,39,186,FEMALE
Biscoe,40.6,193,MALE
Biscoe,36.5,181,FEMALE
Biscoe,37.6,194,MALE
Biscoe,35.7,185,FEMALE
Biscoe,41.3,195,MALE
Biscoe,37.6,185,FEMALE
Biscoe,41.1,192,MALE
Biscoe,36.4,184,FEMALE
Biscoe,41.6,192,MALE
Biscoe,35.5,195,FEMALE
Biscoe,41.1,188,MALE
Torgersen,35.9,190,FEMALE
Torgersen,41.8,198,MALE
Torgersen,33.5,190,FEMALE
Torgersen,39.7,190,MALE
Torgersen,39.6,196,FEMALE
Torgersen,45.8,197,MALE
Torgersen,35.5,190,FEMALE
Torgersen,42.8,195,MALE
Torgersen,40.9,191,FEMALE
Torgersen,37.2,184,MALE
Torgersen,36.2,187,FEMALE
Torgersen,42.1,195,MALE
Torgersen,34.6,189,FEMALE
Torgersen,42.9,196,MALE
Torgersen,36.7,187,FEMALE
Torgersen,35.1,193,MALE
Dream,37.3,191,FEMALE
Dream,41.3,194,MALE
Dream,36.3,190,MALE
Dream,36.9,189,FEMALE
Dream,38.3,189,MALE
Dream,38.9,190,FEMALE
Dream,35.7,202,FEMALE
Dream,41.1,205,MALE
Dream,34,185,FEMALE
Dream,39.6,186,MALE
Dream,36.2,187,FEMALE
Dream,40.8,208,MALE
Dream,38.1,190,FEMALE
Dream,40.3,196,MALE
Dream,33.1,178,FEMALE
Dream,43.2,192,MALE
Biscoe,35,192,FEMALE
Biscoe,41,203,MALE
Biscoe,37.7,183,FEMALE
Biscoe,37.8,190,MALE
Biscoe,37.9,193,FEMALE
Biscoe,39.7,184,MALE
Biscoe,38.6,199,FEMALE
Biscoe,38.2,190,MALE
Biscoe,38.1,181,FEMALE
Biscoe,43.2,197,MALE
Biscoe,38.1,198,FEMALE
Biscoe,45.6,191,MALE
Biscoe,39.7,193,FEMALE
Biscoe,42.2,197,MALE
Biscoe,39.6,191,FEMALE
Biscoe,42.7,196,MALE
Torgersen,38.6,188,FEMALE
Torgersen,37.3,199,MALE
Torgersen,35.7,189,FEMALE
Torgersen,41.1,189,MALE
Torgersen,36.2,187,FEMALE
Torgersen,37.7,198,MALE
Torgersen,40.2,176,FEMALE
Torgersen,41.4,202,MALE
Torgersen,35.2,186,FEMALE
Torgersen,40.6,199,MALE
Torgersen,38.8,191,FEMALE
Torgersen,41.5,195,MALE
Torgersen,39,191,FEMALE
Torgersen,44.1,210,MALE
Torgersen,38.5,190,FEMALE
Torgersen,43.1,197,MALE
Dream,36.8,193,FEMALE
